
index:1 Sending:
index:244 Sending:ÛWB9SKY R37T126L24
405 missed 32 -36 Msg: WB9SKY 
index:245 Sending:ÙWB9SKY R36T126L24
405 missed 32 -36 Msg: WB9SKY 
index:246 Sending:ıWB9SKY R36T126L24
405 missed 32 -37 Msg: WB9SKY 
index:247 Sending:ˆWB9SKY R37T126L24
405 missed 32 -37 Msg: WB9SKY 
index:248 Sending:˜WB9SKY R37T126L24
405 missed 32 -37 Msg: WB9SKY 
index:249 Sending:¯WB9SKY R37T126L23
405 missed 32 -37 Msg: WB9SKY 
index:250 Sending:˘WB9SKY R37T126L24
405 missed 32 -37 Msg: WB9SKY 
index:251 Sending:˙WB9SKY R37T126L24
405 missed 32 -36 Msg: WB9SKY 
index:252 Sending:˚WB9SKY R36T126L24
405 missed 32 -36 Msg: WB9SKY 
index:253 Sending:¸WB9SKY R36T126L23
405 missed 32 -38 Msg: WB9SKY 
index:254 Sending:˝WB9SKY R38T126L24
405 missed 32 -38 Msg: WB9SKY 
index:255 Sending:˛WB9SKY R38T126L24
405 missed 32 -38 Msg: WB9SKY 
index:0 Sending:ˇWB9SKY R38T126L24
405 missed 32 -38 Msg: WB9SKY 
index:1 Sending:
405 missed 32 -37 Msg: WB9SKY 
index:2 Sending:WB9SKY R37T126L23
405 missed 32 -38 Msg: WB9SKY 
index:3 Sending:WB9SKY R38T126L24
405 missed 32 -38 Msg: WB9SKY 
index:4 Sending:WB9SKY R38T126L24
405 missed 32 -40 Msg: WB9SKY 
index:5 Sending:WB9SKY R40T126L24
405 missed 32 -40 Msg: WB9SKY 
index:6 Sending:WB9SKY R40T126L24
405 missed 32 -39 Msg: WB9SKY 
index:7 Sending:WB9SKY R39T126L24
405 missed 32 -40 Msg: WB9SKY 
index:8 Sending:WB9SKY R40T126L24
405 missed 32 -40 Msg: WB9SKY 
index:9 Sending:WB9SKY R40T126L24
405 missed 32 -41 Msg: WB9SKY 
index:10 Sending:	WB9SKY R41T126L24
405 missed 32 -41 Msg: WB9SKY 
index:11 Sending:
WB9SKY R41T126L23
405 missed 32 -42 Msg: WB9SKY 
index:12 Sending:WB9SKY R42T126L24
405 missed 32 -41 Msg: WB9SKY 
index:13 Sending:WB9SKY R41T126L24
405 missed 32 -37 Msg: WB9SKY 
index:14 Sending:WB9SKY R37T126L24
405 missed 32 -39 Msg: WB9SKY 
index:15 Sending:WB9SKY R39T126L24
405 missed 32 -38 Msg: WB9SKY 
index:16 Sending:WB9SKY R38T126L23
405 missed 32 -37 Msg: WB9SKY 
index:17 Sending:WB9SKY R37T126L24
405 missed 32 -37 Msg: WB9SKY 
index:18 Sending:WB9SKY R37T126L24
405 missed 32 -37 Msg: WB9SKY 
index:19 Sending:WB9SKY R37T126L24
405 missed 32 -35 Msg: WB9SKY 
index:20 Sending:WB9SKY R35T126L23
405 missed 32 -40 Msg: WB9SKY 
index:21 Sending:WB9SKY R40T126L23
405 missed 32 -37 Msg: WB9SKY 
index:22 Sending:WB9SKY R37T126L23
405 missed 32 -37 Msg: WB9SKY 
index:23 Sending:WB9SKY R37T126L24
405 missed 32 -39 Msg: WB9SKY 
index:24 Sending:WB9SKY R39T126L24
405 missed 32 -39 Msg: WB9SKY 
index:25 Sending:WB9SKY R39T126L23
405 missed 32 -38 Msg: WB9SKY 
index:26 Sending:WB9SKY R38T126L24
405 missed 32 -38 Msg: WB9SKY 
index:27 Sending:WB9SKY R38T126L24
405 missed 32 -39 Msg: WB9SKY 
index:28 Sending:WB9SKY R39T126L24
405 missed 32 -40 Msg: WB9SKY L1
rcvd L
 rcvd 1
index:29 Sending:WB9SKY R40T126L24
405 missed 32 -37 Msg: WB9SKY 
index:30 Sending:WB9SKY R37T126L404
405 missed 32 -49 Msg: WB9SKY 
index:31 Sending:WB9SKY R49T126L402
405 missed 32 -69 Msg: WB9SKY 
index:32 Sending:WB9SKY R69T126L400
405 missed 32 -42 Msg: WB9SKY 
index:33 Sending: WB9SKY R42T126L399
405 missed 32 -43 Msg: WB9SKY 
index:34 Sending:!WB9SKY R43T126L398
405 missed 32 -44 Msg: WB9SKY L0
rcvd L
 rcvd 0
index:35 Sending:"WB9SKY R44T126L397
405 missed 32 -39 Msg: WB9SKY 
index:36 Sending:#WB9SKY R39T126L22
405 missed 32 -40 Msg: WB9SKY 
index:37 Sending:$WB9SKY R40T126L23
405 missed 32 -37 Msg: WB9SKY 
index:38 Sending:%WB9SKY R37T126L23
405 missed 32 -34 Msg: WB9SKY 
index:39 Sending:&WB9SKY R34T126L23
405 missed 32 -34 Msg: WB9SKY 
index:40 Sending:'WB9SKY R34T126L23
405 missed 32 -39 Msg: WB9SKY 
index:41 Sending:(WB9SKY R39T126L23
405 missed 32 -38 Msg: WB9SKY 
index:42 Sending:)WB9SKY R38T126L23
405 missed 32 -38 Msg: WB9SKY 
index:43 Sending:*WB9SKY R38T126L23
405 missed 32 -37 Msg: WB9SKY 
index:44 Sending:+WB9SKY R37T126L23
405 missed 32 -41 Msg: WB9SKY 
index:45 Sending:,WB9SKY R41T126L23
405 missed 32 -41 Msg: WB9SKY 
index:46 Sending:-WB9SKY R41T126L23
405 missed 32 -43 Msg: WB9SKY 
index:47 Sending:.WB9SKY R43T126L23
405 missed 32 -35 Msg: WB9SKY 
index:48 Sending:/WB9SKY R35T126L23
405 missed 32 -36 Msg: WB9SKY 
index:49 Sending:0WB9SKY R36T126L23
405 missed 32 -36 Msg: WB9SKY 
index:50 Sending:1WB9SKY R36T126L23
405 missed 32 -36 Msg: WB9SKY 
index:51 Sending:2WB9SKY R36T126L23
405 missed 32 -41 Msg: WB9SKY 
index:52 Sending:3WB9SKY R41T126L23
405 missed 32 -52 Msg: WB9SKY 
index:53 Sending:4WB9SKY R52T126L23
405 missed 32 -49 Msg: WB9SKY 
index:54 Sending:5WB9SKY R49T126L23
405 missed 32 -42 Msg: WB9SKY 
index:55 Sending:6WB9SKY R42T126L23
405 missed 32 -45 Msg: WB9SKY 
index:56 Sending:7WB9SKY R45T126L23
405 missed 32 -45 Msg: WB9SKY 
index:57 Sending:8WB9SKY R45T126L23
405 missed 32 -47 Msg: WB9SKY 
index:58 Sending:9WB9SKY R47T126L23
405 missed 32 -57 Msg: WB9SKY 
index:59 Sending::WB9SKY R57T126L23
405 missed 32 -44 Msg: WB9SKY 
index:60 Sending:;WB9SKY R44T126L23
405 missed 32 -49 Msg: WB9SKY 
index:61 Sending:<WB9SKY R49T126L23
405 missed 32 -54 Msg: WB9SKY 
index:62 Sending:=WB9SKY R54T126L23
405 missed 32 -69 Msg: WB9SKY 
index:63 Sending:>WB9SKY R69T121L23
405 missed 32 -66 Msg: WB9SKY 
index:64 Sending:?WB9SKY R66T126L23
405 missed 32 -82 Msg: WB9SKY 
index:65 Sending:@WB9SKY R82T126L23
405 missed 32 -87 Msg: WB9SKY 
index:66 Sending:AWB9SKY R87T121L23
405 missed 32 -97 Msg: WB9SKY 
index:67 Sending:BWB9SKY R97T121L23
405 missed 32 -86 Msg: WB9SKY 
index:68 Sending:CWB9SKY R86T121L23
405 missed 32 -95 Msg: WB9SKY 
index:69 Sending:DWB9SKY R95T121L23
405 missed 32 -88 Msg: WB9SKY 
index:70 Sending:EWB9SKY R88T121L23
index:71 Sending:FWB9SKY R200T121L23
!
406 missed 32 -81 Msg: WB9SKY 
index:72 Sending:GWB9SKY R81T126L23
406 missed 32 -84 Msg: WB9SKY 
index:73 Sending:HWB9SKY R84T126L23
406 missed 32 -75 Msg: WB9SKY 
index:74 Sending:IWB9SKY R75T121L23
406 missed 32 -74 Msg: WB9SKY 
index:75 Sending:JWB9SKY R74T121L23
406 missed 32 -89 Msg: WB9SKY 
index:76 Sending:KWB9SKY R89T121L23
406 missed 32 -80 Msg: WB9SKY 
index:77 Sending:LWB9SKY R80T121L23
406 missed 32 -78 Msg: WB9SKY 
index:78 Sending:MWB9SKY R78T121L23
406 missed 32 -79 Msg: WB9SKY 
index:79 Sending:NWB9SKY R79T126L23
406 missed 32 -80 Msg: WB9SKY 
index:80 Sending:OWB9SKY R80T121L23
406 missed 32 -80 Msg: WB9SKY 
index:81 Sending:PWB9SKY R80T121L23
406 missed 32 -79 Msg: WB9SKY 
index:82 Sending:QWB9SKY R79T126L23
406 missed 32 -81 Msg: WB9SKY 
index:83 Sending:RWB9SKY R81T121L23
406 missed 32 -80 Msg: WB9SKY 
index:84 Sending:SWB9SKY R80T121L23
406 missed 32 -74 Msg: WB9SKY 
index:85 Sending:TWB9SKY R74T121L23
406 missed 32 -81 Msg: WB9SKY 
index:86 Sending:UWB9SKY R81T121L23
406 missed 32 -86 Msg: WB9SKY 
index:87 Sending:VWB9SKY R86T121L23
406 missed 32 -81 Msg: WB9SKY 
index:88 Sending:WWB9SKY R81T121L23
406 missed 32 -77 Msg: WB9SKY 
index:89 Sending:XWB9SKY R77T121L23
406 missed 32 -86 Msg: WB9SKY 
index:90 Sending:YWB9SKY R86T121L23
406 missed 32 -76 Msg: WB9SKY 
index:91 Sending:ZWB9SKY R76T121L23
406 missed 32 -89 Msg: WB9SKY 
index:92 Sending:[WB9SKY R89T121L23
406 missed 32 -81 Msg: WB9SKY 
index:93 Sending:\WB9SKY R81T121L23
406 missed 32 -105 Msg: WB9SKY 
index:94 Sending:]WB9SKY R105T121L23
406 missed 32 -85 Msg: WB9SKY 
index:95 Sending:^WB9SKY R85T121L23
406 missed 32 -106 Msg: WB9SKY 
index:96 Sending:_WB9SKY R106T121L23
406 missed 32 -92 Msg: WB9SKY 
index:97 Sending:`WB9SKY R92T121L23
406 missed 32 -87 Msg: WB9SKY 
index:98 Sending:aWB9SKY R87T121L23
406 missed 32 -89 Msg: WB9SKY 
index:99 Sending:bWB9SKY R89T121L23
406 missed 32 -76 Msg: WB9SKY 
index:100 Sending:cWB9SKY R76T121L23
406 missed 32 -75 Msg: WB9SKY 
index:101 Sending:dWB9SKY R75T121L23
406 missed 32 -75 Msg: WB9SKY 
index:102 Sending:eWB9SKY R75T121L23
406 missed 32 -75 Msg: WB9SKY 
index:103 Sending:fWB9SKY R75T121L23
406 missed 32 -80 Msg: WB9SKY 
index:104 Sending:gWB9SKY R80T121L23
406 missed 32 -89 Msg: WB9SKY 
index:105 Sending:hWB9SKY R89T121L23
406 missed 32 -86 Msg: WB9SKY 
index:106 Sending:iWB9SKY R86T121L23
406 missed 32 -90 Msg: WB9SKY 
index:107 Sending:jWB9SKY R90T121L23
406 missed 32 -90 Msg: WB9SKY 
index:108 Sending:kWB9SKY R90T121L23
406 missed 32 -96 Msg: WB9SKY 
index:109 Sending:lWB9SKY R96T121L23
406 missed 32 -82 Msg: WB9SKY 
index:110 Sending:mWB9SKY R82T121L23
406 missed 32 -75 Msg: WB9SKY 
index:111 Sending:nWB9SKY R75T121L23
406 missed 32 -85 Msg: WB9SKY 
index:112 Sending:oWB9SKY R85T121L23
406 missed 32 -85 Msg: WB9SKY 
index:113 Sending:pWB9SKY R85T121L23
406 missed 32 -81 Msg: WB9SKY 
index:114 Sending:qWB9SKY R81T121L23
406 missed 32 -82 Msg: WB9SKY 
index:115 Sending:rWB9SKY R82T121L23
406 missed 32 -84 Msg: WB9SKY 
index:116 Sending:sWB9SKY R84T121L23
406 missed 32 -82 Msg: WB9SKY 
index:117 Sending:tWB9SKY R82T121L23
406 missed 32 -75 Msg: WB9SKY 
index:118 Sending:uWB9SKY R75T121L23
406 missed 32 -80 Msg: WB9SKY 
index:119 Sending:vWB9SKY R80T121L24
406 missed 32 -81 Msg: WB9SKY 
index:120 Sending:wWB9SKY R81T121L24
406 missed 32 -107 Msg: WB9SKY 
index:121 Sending:xWB9SKY R107T121L24
406 missed 32 -83 Msg: WB9SKY 
index:122 Sending:yWB9SKY R83T121L24
406 missed 32 -84 Msg: WB9SKY 
index:123 Sending:zWB9SKY R84T121L23
406 missed 32 -96 Msg: WB9SKY 
index:124 Sending:{WB9SKY R96T121L23
406 missed 32 -81 Msg: WB9SKY 
index:125 Sending:|WB9SKY R81T121L23
406 missed 32 -84 Msg: WB9SKY 
index:126 Sending:}WB9SKY R84T121L23
406 missed 32 -100 Msg: WB9SKY 
index:127 Sending:~WB9SKY R100T121L23
406 missed 32 -80 Msg: WB9SKY 
index:128 Sending:WB9SKY R80T121L23
406 missed 32 -83 Msg: WB9SKY 
index:129 Sending:ÄWB9SKY R83T121L23
406 missed 32 -80 Msg: WB9SKY 
index:130 Sending:ÅWB9SKY R80T121L23
406 missed 32 -79 Msg: WB9SKY 
index:131 Sending:ÇWB9SKY R79T121L24
406 missed 32 -81 Msg: WB9SKY 
index:132 Sending:ÉWB9SKY R81T121L23
406 missed 32 -77 Msg: WB9SKY 
index:133 Sending:ÑWB9SKY R77T121L23
406 missed 32 -79 Msg: WB9SKY 
index:134 Sending:ÖWB9SKY R79T121L24
406 missed 32 -80 Msg: WB9SKY 
index:135 Sending:ÜWB9SKY R80T121L24
406 missed 32 -79 Msg: WB9SKY 
index:136 Sending:áWB9SKY R79T121L24
406 missed 32 -83 Msg: WB9SKY 
index:137 Sending:àWB9SKY R83T121L23
406 missed 32 -98 Msg: WB9SKY 
index:138 Sending:âWB9SKY R98T121L23
406 missed 32 -84 Msg: WB9SKY 
index:139 Sending:äWB9SKY R84T121L23
406 missed 32 -95 Msg: WB9SKY 
index:140 Sending:ãWB9SKY R95T121L23
406 missed 32 -76 Msg: WB9SKY 
index:141 Sending:åWB9SKY R76T121L23
406 missed 32 -83 Msg: WB9SKY 
index:142 Sending:çWB9SKY R83T121L23
406 missed 32 -81 Msg: WB9SKY 
index:143 Sending:éWB9SKY R81T121L23
406 missed 32 -90 Msg: WB9SKY 
index:144 Sending:èWB9SKY R90T121L23
406 missed 32 -74 Msg: WB9SKY 
index:145 Sending:êWB9SKY R74T121L23
406 missed 32 -71 Msg: WB9SKY 
index:146 Sending:ëWB9SKY R71T121L23
406 missed 32 -76 Msg: WB9SKY 
index:147 Sending:íWB9SKY R76T121L23
406 missed 32 -70 Msg: WB9SKY 
index:148 Sending:ìWB9SKY R70T121L23
406 missed 32 -71 Msg: WB9SKY 
index:149 Sending:îWB9SKY R71T121L23
406 missed 32 -73 Msg: WB9SKY 
index:150 Sending:ïWB9SKY R73T121L23
406 missed 32 -82 Msg: WB9SKY 
index:151 Sending:ñWB9SKY R82T121L23
406 missed 32 -81 Msg: WB9SKY 
index:152 Sending:óWB9SKY R81T121L23
406 missed 32 -73 Msg: WB9SKY 
index:153 Sending:òWB9SKY R73T121L23
406 missed 32 -74 Msg: WB9SKY 
index:154 Sending:ôWB9SKY R74T121L23
406 missed 32 -72 Msg: WB9SKY 
index:155 Sending:öWB9SKY R72T121L23
406 missed 32 -76 Msg: WB9SKY 
index:156 Sending:õWB9SKY R76T121L23
406 missed 32 -75 Msg: WB9SKY 
index:157 Sending:úWB9SKY R75T121L23
406 missed 32 -74 Msg: WB9SKY 
index:158 Sending:ùWB9SKY R74T121L23
406 missed 32 -83 Msg: WB9SKY 
index:159 Sending:ûWB9SKY R83T121L23
406 missed 32 -74 Msg: WB9SKY 
index:160 Sending:üWB9SKY R74T121L23
406 missed 32 -83 Msg: WB9SKY 
index:161 Sending:†WB9SKY R83T121L23
406 missed 32 -74 Msg: WB9SKY 
index:162 Sending:°WB9SKY R74T121L23
406 missed 32 -74 Msg: WB9SKY 
index:163 Sending:¢WB9SKY R74T121L23
406 missed 32 -80 Msg: WB9SKY 
index:164 Sending:£WB9SKY R80T121L23
406 missed 32 -69 Msg: WB9SKY 
index:165 Sending:§WB9SKY R69T121L23
406 missed 32 -57 Msg: WB9SKY 
index:166 Sending:•WB9SKY R57T121L23
406 missed 32 -59 Msg: WB9SKY 
index:167 Sending:¶WB9SKY R59T121L23
406 missed 32 -62 Msg: WB9SKY 
index:168 Sending:ßWB9SKY R62T121L23
406 missed 32 -56 Msg: WB9SKY 
index:169 Sending:®WB9SKY R56T121L23
406 missed 32 -55 Msg: WB9SKY 
index:170 Sending:©WB9SKY R55T121L23
406 missed 32 -68 Msg: WB9SKY 
index:171 Sending:™WB9SKY R68T121L23
406 missed 32 -67 Msg: WB9SKY 
index:172 Sending:´WB9SKY R67T121L23
406 missed 32 -72 Msg: WB9SKY 
index:173 Sending:¨WB9SKY R72T121L23
406 missed 32 -65 Msg: WB9SKY 
index:174 Sending:≠WB9SKY R65T121L23
406 missed 32 -70 Msg: WB9SKY 
index:175 Sending:ÆWB9SKY R70T121L23
406 missed 32 -75 Msg: WB9SKY 
index:176 Sending:ØWB9SKY R75T121L23
406 missed 32 -51 Msg: WB9SKY 
index:177 Sending:∞WB9SKY R51T121L23
406 missed 32 -60 Msg: WB9SKY 
index:178 Sending:±WB9SKY R60T121L23
406 missed 32 -71 Msg: WB9SKY 
index:179 Sending:≤WB9SKY R71T121L23
406 missed 32 -65 Msg: WB9SKY 
index:180 Sending:≥WB9SKY R65T121L23
406 missed 32 -65 Msg: WB9SKY 
index:181 Sending:¥WB9SKY R65T121L23
406 missed 32 -64 Msg: WB9SKY 
index:182 Sending:µWB9SKY R64T121L23
406 missed 32 -65 Msg: WB9SKY 
index:183 Sending:∂WB9SKY R65T121L23
406 missed 32 -64 Msg: WB9SKY 
index:184 Sending:∑WB9SKY R64T121L23
406 missed 32 -68 Msg: WB9SKY 
index:185 Sending:∏WB9SKY R68T121L23
406 missed 32 -66 Msg: WB9SKY 
index:186 Sending:πWB9SKY R66T121L23
406 missed 32 -78 Msg: WB9SKY 
index:187 Sending:∫WB9SKY R78T121L23
406 missed 32 -68 Msg: WB9SKY 
index:188 Sending:ªWB9SKY R68T121L23
406 missed 32 -69 Msg: WB9SKY 
index:189 Sending:ºWB9SKY R69T121L23
406 missed 32 -71 Msg: WB9SKY 
index:190 Sending:ΩWB9SKY R71T121L23
index:191 Sending:æWB9SKY R200T121L23
!
407 missed 32 -80 Msg: WB9SKY 
index:192 Sending:øWB9SKY R80T121L23
407 missed 32 -74 Msg: WB9SKY 
index:193 Sending:¿WB9SKY R74T121L23
407 missed 32 -73 Msg: WB9SKY 
index:194 Sending:¡WB9SKY R73T121L23
407 missed 32 -74 Msg: WB9SKY 
index:195 Sending:¬WB9SKY R74T121L23
407 missed 32 -89 Msg: WB9SKY 
index:196 Sending:√WB9SKY R89T121L23
407 missed 32 -76 Msg: WB9SKY 
index:197 Sending:ƒWB9SKY R76T121L23
407 missed 32 -80 Msg: WB9SKY 
index:198 Sending:≈WB9SKY R80T121L23
407 missed 32 -78 Msg: WB9SKY 
index:199 Sending:∆WB9SKY R78T121L23
407 missed 32 -86 Msg: WB9SKY 
index:200 Sending:«WB9SKY R86T121L23
407 missed 32 -79 Msg: WB9SKY 
index:201 Sending:»WB9SKY R79T121L23
407 missed 32 -96 Msg: WB9SKY 
index:202 Sending:…WB9SKY R96T121L23
407 missed 32 -86 Msg: WB9SKY 
index:203 Sending: WB9SKY R86T121L23
407 missed 32 -80 Msg: WB9SKY 
index:204 Sending:ÀWB9SKY R80T121L23
407 missed 32 -86 Msg: WB9SKY 
index:205 Sending:ÃWB9SKY R86T121L23
407 missed 32 -85 Msg: WB9SKY 
index:206 Sending:ÕWB9SKY R85T121L23
407 missed 32 -92 Msg: WB9SKY 
index:207 Sending:ŒWB9SKY R92T121L23
407 missed 32 -86 Msg: WB9SKY 
index:208 Sending:œWB9SKY R86T121L23
407 missed 32 -86 Msg: WB9SKY 
index:209 Sending:–WB9SKY R86T121L23
407 missed 32 -87 Msg: WB9SKY 
index:210 Sending:—WB9SKY R87T121L23
407 missed 32 -91 Msg: WB9SKY 
index:211 Sending:“WB9SKY R91T121L23
407 missed 32 -94 Msg: WB9SKY 
index:212 Sending:”WB9SKY R94T121L23
407 missed 32 -101 Msg: WB9SKY 
index:213 Sending:‘WB9SKY R101T121L23
407 missed 32 -81 Msg: WB9SKY 
index:214 Sending:’WB9SKY R81T121L23
407 missed 32 -88 Msg: WB9SKY 
index:215 Sending:÷WB9SKY R88T121L23
407 missed 32 -81 Msg: WB9SKY 
index:216 Sending:◊WB9SKY R81T121L23
407 missed 32 -81 Msg: WB9SKY 
index:217 Sending:ÿWB9SKY R81T121L23
407 missed 32 -82 Msg: WB9SKY 
index:218 Sending:ŸWB9SKY R82T121L23
407 missed 32 -82 Msg: WB9SKY 
index:219 Sending:⁄WB9SKY R82T121L23
407 missed 32 -87 Msg: WB9SKY 
index:220 Sending:€WB9SKY R87T121L23
index:221 Sending:‹WB9SKY R200T121L23
!
408 missed 32 -82 Msg: WB9SKY 
index:222 Sending:›WB9SKY R82T121L23
408 missed 32 -95 Msg: WB9SKY 
index:223 Sending:ﬁWB9SKY R95T121L23
408 missed 32 -84 Msg: WB9SKY 
index:224 Sending:ﬂWB9SKY R84T121L23
408 missed 32 -94 Msg: WB9SKY 
index:225 Sending:‡WB9SKY R94T121L23
408 missed 32 -88 Msg: WB9SKY 
index:226 Sending:·WB9SKY R88T121L23
408 missed 32 -88 Msg: WB9SKY 
index:227 Sending:‚WB9SKY R88T121L23
408 missed 32 -90 Msg: WB9SKY 
index:228 Sending:„WB9SKY R90T121L23
408 missed 32 -86 Msg: WB9SKY 
index:229 Sending:‰WB9SKY R86T121L23
408 missed 32 -86 Msg: WB9SKY 
index:230 Sending:ÂWB9SKY R86T121L23
408 missed 32 -84 Msg: WB9SKY 
index:231 Sending:ÊWB9SKY R84T121L23
408 missed 32 -91 Msg: WB9SKY 
index:232 Sending:ÁWB9SKY R91T121L23
408 missed 32 -85 Msg: WB9SKY 
index:233 Sending:ËWB9SKY R85T121L23
408 missed 32 -93 Msg: WB9SKY 
index:234 Sending:ÈWB9SKY R93T116L23
408 missed 32 -93 Msg: WB9SKY 
index:235 Sending:ÍWB9SKY R93T121L23
408 missed 32 -84 Msg: WB9SKY 
index:236 Sending:ÎWB9SKY R84T121L23
408 missed 32 -90 Msg: WB9SKY 
index:237 Sending:ÏWB9SKY R90T121L23
408 missed 32 -88 Msg: WB9SKY 
index:238 Sending:ÌWB9SKY R88T116L23
408 missed 32 -94 Msg: WB9SKY 
index:239 Sending:ÓWB9SKY R94T121L23
408 missed 32 -86 Msg: WB9SKY 
index:240 Sending:ÔWB9SKY R86T121L23
408 missed 32 -100 Msg: WB9SKY†
index:241 Sending:WB9SKY R100T121L23
index:242 Sending:ÒWB9SKY R200T116L23
!
409 missed 32 -88 Msg: WB9SKY 
index:243 Sending:ÚWB9SKY R88T116L23
409 missed 32 -94 Msg: WB9SKY 
index:244 Sending:ÛWB9SKY R94T116L23
409 missed 32 -86 Msg: WB9SKY 
index:245 Sending:ÙWB9SKY R86T121L23
index:246 Sending:ıWB9SKY R200T116L23
